Rank,Title,Cast,Director,Genre,Notes,Year,1966rank,1967rank,1968rank,Music,1969rank
,Kaun Apna Kaun Paraya,"Waheeda Rehman, Vijay Kumar, Nirupa Roy, Dulari, Johnny Walker, Shammi, Shyam Kumar",Niranjan,Family Drama,Music: RaviLyrics: Shakeel Badayuni,1963,,,,,
,Kinare Kinare,"Dev Anand, Meena Kumari, Chetan Anand, Sunder, Kammo, Madhoo, Sukhdev",Chetan Anand,Romance Drama,Music: JaidevLyrics: Nyaya Sharma,1963,,,,,
,Laagi Nahi Chhute Ram,"Ashim Kumar, Kumkum, Helen, Leela Mishra, Nazir Hussain, Tiwari",Kundan Kumar,,ChitraguptaLyrics: Majrooh Sultanpuri,1963,,,,,
,Mansube Machlidar,,Pramod Pati,Documentary,Music: Lyrics:,1963,,,,,
,Maya Mahal,"Mahipal, Helen, Indira Billi, Sunder, Tiwari, Bela Bose, Ram Mohan",Chandrakant,Fantasy,Music: NashadLyrics: Asad Bhopali,1963,,,,,
,Mere Arman Mere Sapne,"Pradeep Kumar, Jayshree Gadkar, Sumitra Devi, Ashim Kumar, Pran, Abhi Bhattacharya",Arvind Sen,Romance Crime Drama,Music: Datta NaikLyrics: Rajendra Krishan,1963,,,,,
,Mere Mehboob,"Rajendra Kumar, Sadhana, Ashok Kumar, Nimmi, Johnny Walker, Pran",H. S. Rawail,Classic Muslim social,Music: NaushadLyrics: Shakeel Badayuni,1963,,,,,
,Meri Surat Teri Ankhen,"Ashok Kumar, Asha Parekh, Pradeep Kumar, Nadira, Achla Sachdev, Ishwarlal, Kanhaiyalal",R. K. Rakhan,Romance Drama,Music: S. D. BurmanLyrics: Shailendra,1963,,,,,
,Mujhe Jeene Do,"Sunil Dutt, Waheeda Rehman, Nirupa Roy, Durga Khote, Mumtaz, Cuckoo, Rajendra Nath, Anwar Hussain, Manorama",Moni Bhattacharya,Dacoit Drama,Music: JaidevLyrics: Sahir Ludhianvi,1963,,,,,
,Mulzim,"Pradeep Kumar, Shakila, Helen, Johnny Walker, N. A. Ansari, Nilofer, Nasreen",N. A. Ansari,Crime Drama,Music: RaviLyrics: Shakeel Badayuni,1963,,,,,
,Mummy Daddy,"Sudesh Kumar, Ameeta, Lalita Pawar, Tiwari, Manorama",Narendra Dave,Family Drama,Music: ChitraguptaLyrics: Prem Dhawan,1963,,,,,
,Naag Mohini,"Mahipal, Vijaya Chaudhary, Sunder, Rajan Haksar, Uma Dutt",Shantilal Soni,Fantasy,Music: Sardar MalikLyrics: Bharat Vyas,1963,,,,,
,Nartakee,"Sunil Dutt, Nanda, Zeb Rehman, Om Prakash, Surekha, Agha, Aruna Irani, Nana Palsikar, Moni Chatterjee, Polson",Nitin Bose,Social Drama,Music: RaviLyrics: Shakeel Badayuni,1963,,,,,
,Parasmani,"Mahipal, Ragini, Helen, Nalini Chonkar, Manhar Desai, Jeevankala, Aruna Irani, Jugal Kishore",Babubhai Mistri,Fantasy,"Music: Laxmikant PyarelalLyrics: Asad Bhopali, Indeevar",1963,,,,,
,Phir Wohi Dil Laya Hoon,"Asha Parekh, Joy Mukherjee, Pran, Rajendra Nath, Veena, Tabassum, Shetty, Ram Avtar, Krishan Dhawan",Nasir Hussain,Romance,Music: O. P. NayyarLyrics: Majrooh Sultanpuri,1963,,,,,
,Pyaar Kiya To Darna Kya,"Shammi Kapoor, B Saroja Devi, Prithviraj Kapoor, Pran, Om Prakash",B. S. Ranga,Romantic Family Drama,Music: RaviLyrics: Shakeel Badayuni,1963,,,,,
,Pyar Ka Bandhan,"Raaj Kumar, Nishi, Naaz, Helen, Dhumal",Naresh Saigal,Family Drama,"Music: RaviLyrics: Sahir Ludhianvi, Naqsh Lyallpuri, Qamar Jalalabadi",1963,,,,,
,Raaja,"Jagdeep, Vijaya Chaudhary, Jeevan, Helen, Veena, Sunder, Ulhas",Radhakant,Drama,"Music: S. N. TripathiLyrics: Anand Bakshi, Prem Dhawan",1963,,,,,
,Rocket Tarzan,"Rajan, Shakila Bano Bhopali, Polson, Nilofar, Shanti, Dalpat, Bhagwandas",B. J. Patel,Fantasy Sci-Fi,Music: Robin BanerjeeLyrics: Yogesh,1963,,,,,
,Rustom Sohrab,"Prithviraj Kapoor, Suraiya, Premnath, Mumtaz, Murad, Sajjan",Vishram Bedekar,Costume Action Legend,Music: SajjadLyrics: Jan Nissar Akhtar,1963,,,,,
,Rustom-E-Baghdad,"Dara Singh, Vijaya Chaudhary, Chandrashekhar, Randhawa, Sumitra Devi, Shakila Bano Bhopali",B. J. Patel,Costume Action,Music: Datta NaikLyrics: Asad Bhopali,1963,,,,,
1.0,Sangam,"Vyjayanthimala, Raj Kapoor, Rajendra Kumar",,,,1964,,,,,
2.0,Ayee Milan Ki Bela,"Rajendra Kumar, Saira Banu, Dharmendra",,,,1964,,,,,
3.0,Dosti,"Sushil Kumar[disambiguation needed], Sudhir Kumar, Sanjay Khan, Uma Rajoo",,,,1964,,,,,
4.0,Ziddi,"Joy Mukherjee, Asha Parekh",,,,1964,,,,,
5.0,Rajkumar,"Shammi Kapoor, Sadhana",,,,1964,,,,,
6.0,Kashmir Ki Kali,"Shammi Kapoor, Sharmila Tagore",,,,1964,,,,,
7.0,Haqeeqat,"Balraj Sahni, Dharmendra, Vijay Anand, Priya Rajvansh",,,,1964,,,,,
8.0,Zindagi,"Vyjayanthimala, Rajendra Kumar, Raaj Kumar",,,,1964,,,,,
9.0,April Fool,"Vishwajeet, Saira Banu",,,,1964,,,,,
10.0,Leader,"Dilip Kumar, Vyjayanthimala",,,,1964,,,,,
11.0,Woh Kaun Thi,"Sadhana, Manoj Kumar",,,,1964,,,,,
,Aandhi Aur Toofan,"Dara Singh, Mumtaz, Jeevan, Bhagwan, Maruti, Kamran",Mohammed Hussain,Action Adventure,Music: Robin BanerjeeLyrics: Faruk Kaiser,1964,,,,,
,Aao Pyaar Karen,"Joy Mukherjee, Saira Banu, Rajendra Nath, Madhvi, Jayant, Shyam Chatterjee",R. K. Nayyar,Romance Drama,Music: Usha KhannaLyrics:Rajendra Krishan,1964,,,,,
,Aap Ki Parchhaiyan,"Dharmendra, Supriya Chowdhury, Shashikala, Om Prakash, Leela Chitnis, Vijayalaxmi, Manorama",Mohan Kumar,Romance Drama,Music: Madan MohanLyrics: Raja Mehdi Ali Khan,1964,,,,,
,Aaya Toofan,"Dara Singh, Nishi, Helen, Anwar Hussain, Randhawa, Indira Billi, Maruti, Tun Tun","Kedar Kapoor, Mohammed Hussain",Action,Music: Laxmikant PyarelalLyrics: Asad Bhopali,1964,,,,,
,Apne Huye Paraye,"Mala Sinha, Manoj Kumar, Shashikala, Lalita Pawar, Dulari, Agha, Iftekhar, Sunder",Ajit Chakraborty,Romantic love triangle,"Music: Shankar JaikishanLyrics: Hasrat Jaipuri, Shailendra",1964,,,,,
,April Fool,"Biswajeet, Saira Banu, Nazima, I. S. Johar, Jayant, Sajjan, Chand Usmani, Ram Avtar, Shetty",Subodh Mukherjee,Romance Musical,"Music: Shankar JaikishanLyrics: Hasrat Jaipuri, Shailendra",1964,,,,,
,Arab Ka Lal,"Samar Roy, Indra Billi, Sherry, Leela, Dilawar, Shyam Kumar",A. Shamsheer,Costume Action,Music: S. KishanLyrics: A. Shamsheer,1964,,,,,
,Awara Badal,"Ajit, Ragini, Helen, Indira Billi, Leela Mishra Jagdish Sethi, Dhumal",Kedar Kapoor,Action,"Music: Usha KhannaLyrics: Javed Anwar, Anand Bakshi, Jan Nisar Akhtar",1964,,,,,
,Ayee Milan Ki Bela,"Rajendra Kumar, Saira Banu, Dharmendra, Shashikala, Madan Puri, Nazir Hussain, Sulochana, Sunder, Mumtaz Begum",Mohan Kumar,Romantic Drama,"Music: Shankar JaikishanLyrics: Hasrat Jaipuri, Shailendra",1964,,,,,
,Badshah,"Dara Singh, Nishi, Tiwari, Rani, Shakila Bano Bhopali, Maruti, Rajan Haksar",Chandrakant,Costume Action,Music: Datta NaikLyrics: Anand Bakshi,1964,,,,,
,Baghi,"Pradeep Kumar, Leela Naidu, Mumtaz, Jeevan, Veena, Helen, Vijaya Chaudhary, Jagdeep",Ram Dayal,Costume Action,Music: ChitraguptaLyrics: Hasrat Jaipuri,1964,,,,,
,Baghi Shahzada,"Kishore Kumar, Kumkum, Madhumati, Maruti, B. M. Vyas, Anwar Hussain, W. M. Khan",Maruti Rao,Action,Music: Bipin Babul Lyrics: Noor Devasi & Raja Mehdi Ali Khan,1964,,,,,
,Benazir,"Ashok Kumar, Meena Kumari, Shashi Kapoor, Tanuja, Durga Khote, Nirupa Roy, Tarun Bose, Asit Sen",Bimal Roy,Social Muslim Drama,Music: S. D. BurmanLyrics: Shakeel Badayuni,1964,,,,,
,Beti Bete,"Sunil Dutt, Saroja Devi, Jamuna, Mehmood, Shobha Khote, Jayant, Agha",T L V Prasad,Family Drama,"Music: Shankar JaikishanLyrics: Hasrat Jaipuri, Shailendra",1964,,,,,
,Bhakta Dhruvakumar,"Shahu Modak, Nirupa Roy, Babloo, Indira Billi, Sunder, Niranjan Sharma",Dhirubhai Desai,Devotional,"Music: Avinash VyasLyrics: Madan Bharti, Avinash Vyas",1964,,,,,
,Birju Ustad,"Sheikh Mukhtar, Vijaya Choudhary, Chandrashekhar, Mukri, Tun Tun",Manu Desai,Action,Music: Kalyanji AnandjiLyrics: Qamar Jalalabadi,1964,,,,,
,Captain Azad,"Azad, Neelam Kumari, Aruna Irani, Heera Sawant, Maqbul, Majnu, Habib",Ram Rasila,Costume Action,Music: Piter NawabLyrics: M. M. Khan,1964,,,,,
,Cha Cha Cha,"Om Prakash]], Bela Bose, Madan Puri, Iftekhar, Tun Tun",Chandrashekhar,Musical Dance Drama,"Music: Iqbal QureshiLyrics: Bharat Vyas, Maqdoom Mohiuddin, Neeraj",1964,,,,,
,Challenge,"Ranjan, Chitra, Bela Bose, Tiwari, Polson, Maruti, Indira Bansal",B. J. Patel,Action,Music: Ajit MerchantLyrics: Prem Dhawa,1964,,,,,
,Chandi Ki Deewar,"Bharat Bhushan, Nutan, Indrani Mukherjee, Asit Sen, Sudhir, Naaz, Honey Irani, Pratima Devi",Dilip Bose,Romantic drama,Music: N. DuttaLyrics: Sahir Ludhianvi,1964,,,,,
,Char Dervesh,"Feroz Khan, Sayeeda Khan, Naaz, B. M. Vyas, Mukri, Sunder",Homi Wadia,Fantasy,"Music: G. S. KohliLyrics: Anjaan, Saba Fazli, Raja Mehdi Ali Kha",1964,,,,,
,Chitralekha,"Ashok Kumar, Meena Kumari, Pradeep Kumar, Mehmood, Zeb Rehman, Achla Sachdev, Minu Mumtaz, Bela Bose",Kidar Sharma,Historical romantic drama,Music: RoshanLyrics: Sahir Ludhianvi,1964,,,,,
,Daal Me Kaala,"Kishore Kumar, Nimmi, Agha, Om Prakash, Bipin Gupta, Abhi Bhattacharya, Sajjan, Shammi",Satyen Bose,Comedy,"Music: C. RamchandraLyrics: Majrooh Sultanpuri, Raja Mehdi Ali Khan, Bharat Vyas, Pyarelal Santoshi",1964,,,,,
,Dara Singh,"Dara Singh, Nishi, Jeevan, Salim Khan, Tabassum, Tiwari, Mohan Choti",Kedar Kapoor,Action,Music: Hansraj BehlLyrics: Prem Dhawan,1964,,,,,
,Dooj Ka Chaand,"Ashok Kumar, Bharat Bhushan, B. Saroja Devi, Raaj Kumar, Azra, Chandrashekhar, Ulhas, Agha",Nitin Bose,Drama,Music: RoshanLyrics: Sahir Ludhianvi,1964,,,,,
,Door Gagan Ki Chhaon Mein,"Kishore Kumar, Supriya Chowdhury, Amit Kumar, Shashikala, Iftekhar, Sajjan, Raj Mehra, Nana Palsikar, Leela Mishra",Kishore Kumar,Drama,"Music: Kishore KumarLyrics: Kishore Kumar, Shailendra",1964,,,,,
,Door Ki Awaaz,"Joy Mukherjee, Saira Banu, Johnny Walker, Pran, Durga Khote, Om Prakash, Mallika",Devendra Goel,Romantic drama,Music: RaviLyrics: Shakeel Badayuni,1964,,,,,
,Dosti,"Sudhir Kumar, Sushil Kumar, Sanjay Khan, Farida, Leela Mishra, Nana Palsikar, Leela Chitnis, Abhi Bhattacharya",Satyen Bose,Social Drama,Entered into the 4th Moscow International Film Festival. Music: Laxmikant PyarelalLyrics: Majrooh Sultanpuri,1964,,,,,
,Dulha Dulhan,"Raj Kapoor, Sadhana, K. N. Singh, Agha, Madhumati, Raj Mehra",Ravindra Dave,Romantic drama,"Music: Kalyanji AnandjiLyrics: Anand Bakshi, Indeevar Gulshan Bawra, Haroon",1964,,,,,
,Ek Din Ka Badshah,"P. Jairaj, Nishi, Jugal Kishore, Sunder, Mohan Choti",Jugal Kishore,Costume Action,"Music: Hansraj BehlLyrics: Gulshan Bawra, Prem Warbartani",1964,,,,,
,Fariyad,"Ashok Sharma, Zeb Rehman, Nazima, Achla Sachdev, Tun Tun, Bela Bose, Gopal Saigal",Kidar Sharma,Social Family Drama,Music: Snehal BhatkarLyrics: Kidar Sharma,1964,,,,,
,Ganga Ki Lahren,"Kishore Kumar, Dharmendra, Kumkum, Savitri, Nazir Hussain, Azra",Devi Sharma,Drama,Music: ChitraguptaLyrics: Majrooh Sultanpuri,1964,,,,,
,Geet Gaya Pattharon Ne,"Jeetendra, Rajshree, Nana Palsikar, Surendra, Babloo",V. Shantaram,Romantic Drama,"Music: Ramlal Hira-PannaLyrics: Hasrat Jaipuri, Vishwamitra Adil",1964,,,,,
,Gazal,"Sunil Dutt, Meena Kumari, Rehman, Mehmood, Nazima, Prithviraj Kapoor, Rajendra Nath, Raj Mehra",Ved Madan,Romantic Muslim social,Music: Madan MohanLyrics: Sahir Ludhianvi,1964,,,,,
,Hamara Ghar,"Dilip Raj, Surekha, Sonal Mehta, Rekha Rao, Nana Palsikar, Yasmeen Khan",K. A. Abbas,Children Adventure,"Music: J. P. KaushikLyrics: Ali Sardar Jafri, Muhammad Iqbal",1964,,,,,
,Hamara Rashtragan a.k.a. Our National Anthem,,Pramod Pati,Documentary,,1964,,,,,
,Hameer Hath,"Nirupa Roy, P. Jairaj, Anita Guha, Manhar Desai, Vijay Choudhary, Sapru, B. M. Vyas",Jaswant Jhaveri,Legend Action,"Music: Sanmukh Babu UpadhyayLyrics: Neelkanth Tiwari, Uday Khanna, Saraswati Kumar Deepak",1964,,,,,
,Haqeeqat,"Balraj Sahni, Dharmendra",Chetan Anand,War,Music: Madan MohanLyrics: Kaifi Azmi,1964,,,,,
,Hercules,"Dara Singh, Nishi, Mumtaz, Helen, Maruti, B. M. Vyas, Indira",Shriram,Action,Music: N DuttaLyrics: Anand Bakshi,1964,,,,,
,Ishaara,"Joy Mukherjee, Vyjayanthimala, Pran, Subiraj, Azra, Jayant",K. Amarnath,Melodrama,Music: Kalyanji AnandjiLyrics: Majrooh Sultanpuri,1964,,,,,
,Jahan Ara,"Bharat Bhushan, Mala Sinha, Shashikala, Prithviraj Kapoor, Sunder, Minu Mumtaz, Chandrashekhar, Achla Sachdev, Om Prakash",Vinod Kumar,Historical romantic-fiction drama,Music: Madan MohanLyrics: Rajendra Krishan,1964,,,,,
,Jantar Mantar,"Mahipal, Vijaya Choudhury, Ulhas",Radhakant,Fantasy,Music: Sardar MalikLyrics: Hasrat Jaipuri,1964,,,,,
,Ji Chahta Hai,"Joy Mukherjee, Rajshree, Motilal, Shyama, Rajendra Nath, Jeevan, Achla Sachdev",Bibhuti Mitra,Romantic drama,Music: Kalyanji AnandjiLyrics: Hasrat Jaipuri,1964,,,,,
,Kaise Kahoon,"Biswajeet, Nanda, Rehman, Naaz, Om Prakash, Manmohan, Asit Sen, Durga Khote",Atma Ram,Melodrama,Music: S. D. BurmanLyrics: Shakeel Badayuni,1964,,,,,
,Kashmir Ki Kali,"Shammi Kapoor, Sharmila Tagore, Pran, Anoop Kumar, Nazir Hussain, Madan Puri, Sunder, Tun Tun, Dhumal",Shakti Samanta,Romantic Musical,Music: O. P. NayyarLyrics: S. H. Bihari,1964,,,,,
,Khufia Mahal,"P. Jairaj, Chitra, Tun Tun, Sherry, Sheikh, Paul Sharma",Akkoo,Fantasy Horror,"Music: PardesiLyrics: Zafar Rahi, Shyam Hindi",1964,,,,,
,Kohra,"Waheeda Rehman, Biswajeet, Lalita Pawar, Madan Puri, Manmohan Krishna, Abhi Bhattacharya",Biren Nag,"Thriller, Mystery",Music: Hemant KumarLyrics: Kaifi Azmi,1964,,,,,
,Leader,"Dilip Kumar, Vyjantimala",,,,1964,,,,,
,Magic Carpet,,,,,1964,,,,,
,Mahasati Anusuya,,,,,1964,,,,,
,Mahasati Behula,,,,,1964,,,,,
,Maikhana,,,,,1964,,,,,
,Main Bhi Ladki Hoon,,,,,1964,,,,,
,Main Suhagan Hoon,Mala Sinha,,,,1964,,,,,
,Majboor,"Waheeda Rehman, Biswajeet, Naaz",,,,1964,,,,,
,Mera Qasoor Kya Hai,Nanda,,,,1964,,,,,
,Mr. X in Bombay,"Kishore Kumar, Kumkum",,,,1964,,,,,
,Phoolon Ki Sej,"Ashok Kumar, Vyjanthimala, Manoj Kumar",,,,1964,,,,,
,Picnic,,,,,1964,,,,,
,Pooja Ke Phool	A. Bhimsingh,"Mala Sinha, Pran",,,,1964,,,,,
,Punar Milan,"Ameeta, Mumtaz Begum, Leela Chitnis",Ravindra Dave,,,1964,,,,,
,Qawwali Ki Raat,,,,,1964,,,,,
,Rahul,,,,,1964,,,,,
,Rajkumar,"Shammi Kapoor, Sadhana, Rajendranath, Pran",K. Shankar,Musical/Action,,1964,,,,,
,Roop Sundari,,,,,1964,,,,,
,Rustom-E-Rome,,,,,1964,,,,,
,Samson,"Dara Singh, Ameeta, Feroz Khan, B. M. Vyas, Mumtaz, Mohan Choti",Nanabhai Bhatt,,,1964,,,,,
,Sangam,"Raj Kapoor, Vyjayanthimala, Rajendra Kumar",Raj Kapoor,Social,,1964,,,,,
,Sanjh Aur Savera,,Hrishikesh Mukherjee,,,1964,,,,,
,Sant Gyaneshwar,,,,,1964,,,,,
,Sarfarosh,,,,,1964,,,,,
,Sati Savitri,"Mahipal, Jeevan",Shantilal Soni,Religious,,1964,,,,,
,Shabnam,"Mehmood, Helen",Aspi Irani,,,1964,,,,,
,Shagoon,Waheeda Rehman,Nazir,,,1964,,,,,
,Sharabi,"Dev Anand, Madhubala, Radhakrishan, Badri Prasad, Daisy Irani, Lalita Pawar, Sulochana, Ram Mohan, Ravikant, Pardesi",Rajrishi,Social Romance,Music: Madan Mohan Lyrics: Rajendra Krishan,1964,,,,,
,Shehnai,"Biswajeet, Rajshree, Johnny Walker, Chand Usmani, Nirupa Roy, Praveen Choudhary, Iftekhar, Sapru, Honey Irani, Laxmi Chhaya, Asit Sen",S. D. Narang,Social Family Drama,Music: Ravi Lyrics:Rajendra Krishan,1964,,,,,
,Subhadra Haran,"Shahu Modak, Jayshree Gadkar, Chitra, Suryakant, Arun Sarnaik",Datta Dharamadhikari,Mythology,Music: Prabhakar JogLyrics: Saraswati Kumar Deepak.[2],1964,,,,,
,Aadhi Raat Ke Baad,"Sajjan, Ulhas, Ragini, Murad, Ashok Kumar, Sailesh Kumar",Nanabhai Bhatt,,,1965,,,,,
,Aasmaan Mahal,"Prithviraj Kapoor, Dilip Kumar, Nana Palsikar",K. A. Abbas,,,1965,,,,,
,Akashdeep,"Dharmendra, Ashok Kumar, Nanda, Mehmood",Phani Majumdar,,,1965,,,,,
,Arzoo,"Rajendra Kumar, Sadhana, Nazima, Feroz Khan",Ramanand Sagar,,,1965,,,,,
,Bedaag,"Manoj Kumar, Nanda",R. Bhattacharya,,,1965,,,,,
,Bekhabar,,Nanabhai Bhatt,,,1965,,,,,
,Bharat Katha,,,,,1965,,,,,
,Bharat Milaap,,Babubhai Mistri,,,1965,,,,,
,Bheegi Raat,"Meena Kumari, Ashok Kumar, Pradeep Kumar, Shashikala",Kalidas,,,1965,,,,,
,Bhoot Bungla,"Mehmood, Tanuja",Mehmood,,,1965,,,,,
,Birthday,,,,,1965,,,,,
,Bombay Race Course,,Kedar Kapoor,,,1965,,,,,
,Boxer,"Dara Singh, Mumtaz",Radhakant,,,1965,,,,,
,Chand Aur Suraj,"Ashok Kumar, Dharmendra, Tanuja, Nirupa Roy",Dulal Guha,,,1965,,,,,
,Chhoti Chhoti Baatein,"Motilal, Nadira, Leela Mishra",Motilal,,,1965,,,,,
,Do Dil,"Pran, Biswajit, Rajshree",Hrishikesh Mukherji,,,1965,,,,,
,Ek Saal Pehle,"Sujit Kumar, Sayeeda Khan, Helen, Sunder",Dharam Kumar,,,1965,,,,,
,Ek Sapera Ek Lutera,Feroz Khan,Naresh Kumar,,,1965,,,,,
,Faisla,"Sheikh Mukhtar, Helen, Jeevan",Jugal Kishore,,,1965,,,,,
,Faraar,,Pinaki Mukherji,,,1965,,,,,
,Fear,,,,,1965,,,,,
,A Great Day,,,,,1965,,,,,
,Guide,"Dev Anand, Waheeda Rehman",Vijay Anand,"Drama, Romance, Musical, Social",,1965,,,,,
,Gumnaam,"Pran, Helen, Manoj Kumar, Nanda, Mehmood",Raja Nawathe,Thriller/Musical,,1965,,,,,
,Himalaya Ki God Mein,"Manoj Kumar, Mala Sinha",Vijay Bhatt,,,1965,,,,,
,Hum Diwane,"Bhagwan, Helen, Mumtaz, Chandrashekhar",Bhagwan,,,1965,,,,,
,Hum Sab Ustad Hain,"Kishore Kumar, Ameeta, Sheikh Mukhtar",Maruti,,,1965,,,,,
,Janwar,"Shammi Kapoor, Rajshree, Rajendra Nath",Bhappi Sonie,Musical,,1965,,,,,
,Jab Jab Phool Khile,"Nanda, Shashi Kapoor, Agha",Suraj Prakash,Musical,,1965,,,,,
,Jadui Angoothi,,,,,1965,,,,,
,Jahan Sati Wahan Bhagwan,,Satish Kumar,,,1965,,,,,
,Janam Janam Ke Saathi,"Premnath, Kamini Kaushal, Lalita Pawar",Nand Kishore,,,1965,,,,,
,Johar-Mehmood in Goa,"I. S. Johar, Mehmood, Simi Garewal, Sonia Sahni",,Comedy,,1965,,,,,
,Kaajal,"Dharmendra, Meena Kumari, Padmini, Raaj Kumar",Ram Maheshwari,Social,,1965,,,,,
,Khakaan,"Dara Singh, Mumtaz, Ratnamala, Prithviraj Kapoor",Aspi Irani,,,1965,,,,,
,Khandan,"Sunil Dutt, Nutan, Pran, Sudesh Kumar",Bhim Singh,,,1965,,,,,
,Lutera,"Dara Singh, Nishi, Prithviraj Kapoor",Harbans Singh,,,1965,,,,,
,Mahabharat,"Pradeep Kumar, Dara Singh, Padmini",Babubhai Mistri,"History, Religious",,1965,,,,,
,Main Hoon Aladdin,"Ajit, Sayeeda Khan, Madan Puri",Mohammed Husaain,,,1965,,,,,
,Main Hoon Jadugar,"Jairaj, Tuntun, Tiwari",Jugal Kishore,,,1965,,,,,
,Mere Sanam,"Asha Parekh, Biswajit, Pran",Amar Kumar,,,1965,,,,,
,Mohabbat Isko Kehte Hain,"Shashi Kapoor, Nanda",Akhtar Mirza,,,1965,,,,,
,Nai Umar Ki Nai Fasal,"Tanuja, Rajeev",R. Chandra,,,1965,,,,,
,Namaste Ji,"Mehmood, Ameeta, I. S. Johar, Manorama",Daljit Krishan,,,1965,,,,,
,Naya Kanoon,"Bharat Bhushan, Vyjayanthimala, Ashok Kumar",R.C. Talwar,,,1965,,,,,
,Neela Aakash,"Dharmendra, Mala Sinha",Rajendra Bhatia,,,1965,,,,,
,Nishan,"Sanjeev Kumar, Nazima, Sheikh Mukhtar, Shammi",Aspi Irani,,,1965,,,,,
,Noor Mahal,"Jagdeep, Madhumati, Lalita Desai",Noshir Engineer,,,1965,,,,,
,Oonche Log,"Ashok Kumar, Feroz Khan",Phani Majumdar,,,1965,,,,,
,Poonam Ki Raat,"Manoj Kumar, Kumud Chugani",Kishore Sahu,,,1965,,,,,
,Purnima,"Dharmendra, Meena Kumari",Narendra Suri,,,1965,,,,,
,Raaka,"Dara Singh, Mumtaz, K.N. Singh",Kedar Kapoor,,,1965,,,,,
,Rendezvous,,,,,1965,,,,,
,Rishte Naate,"Raaj Kumar, Nutan, Kanhaiyalal",K. S. Gopal Krishnan,,,1965,,,,,
,Rustom-E-Hind,"Dara Singh, Mumtaz, Laxmi Chhaya",Kedar Kapoor,,,1965,,,,,
,Saat Samundar Paar,"Dara Singh, Ameeta, Ulhas",Mohammed Husaain,,,1965,,,,,
,Saheli,"Pradeep Kumar, Vijaya Chowdhary, Tun Tun",Arjun Hingorani,,,1965,,,,,
,Sangram,"Dara Singh, Aruna Irani, Randhawa",Babubhai Mistri,,,1965,,,,,
,Sati Nari,"Anita Guha, Sunder, Jeevan",Pankaj,,,1965,,,,,
,Shaheed,"Manoj Kumar, Nirupa Roy, Pran, Prem Chopra, Kamini Kaushal",S. Ram Sharma,Revolutionary Patriotic,,1965,,,,,
,Shakespeare Wallah,,,,,1965,,,,,
,Shankar Seeta Anusuya,,Manibhai Vyas,,,1965,,,,,
,Sher Dil,"Dara Singh, Parveen Chaudhary, Bhagwan",Chand,,,1965,,,,,
,Shree Ram Bharat Milap,"Prithviraj Kapoor, Vanmala, Raaj Kumar, Nirupa Roy",Manibhai Vyas,,,1965,,,,,
,Shreeman Funtoosh,"Kumkum, Kishore Kumar",Shantilal Soni,,,1965,,,,,
,Sikandar E Azam,"Dara Singh, Mumtaz, Prithviraj Kapoor, Premnath",Kedar Kapoor,,,1965,,,,,
,Sindbad Alibaba and Aladdin,"Pradeep Kumar, Sayeeda Khan, Helen, Bhagwan",P.N. Arora,,,1965,,,,,
,Tarzan and King Kong,"Dara Singh, Mumtaz, Bhagwan",A. Shamsheer,,,1965,,,,,
,Teen Devian,"Dev Anand, Nanda, Kalpana, Simi Garewal",,Musical,,1965,,,,,
,Teen Sardar,"Randhawa, Parveen Chaudhary",Radhakant,,,1965,,,,,
,Teesra Kaun,"Feroz Khan, Shahsikala, Kalpana, Rajan Haksar, Pran",Mohammed Hussain,,,1965,,,,,
,Waqt,"Sunil Dutt, Sadhana, Raaj Kumar, Shashi Kapoor, Sharmila Tagore, Balraj Sahni, Achla Sachdev",Yash Chopra,,,1965,,,,,
,Zindagi Aur Maut,"Pradeep Kumar, Bela Bose, Faryal",N.A.Ansari,,,1965,,,,,
,Phool Aur Patthar,"Dharmendra, Meena Kumari",,,,1966,1.0,,,,
,Suraj,"Rajendra Kumar, Vyjayanthimala, Mumtaz",,,,1966,2.0,,,,
,Mera Saaya,"Sunil Dutt, Sadhana",,,,1966,3.0,,,,
,Teesri Manzil,"Shammi Kapoor, Asha Parekh",,,,1966,4.0,,,,
,Love In Tokyo,"Joy Mukherji, Asha Parekh",,,,1966,5.0,,,,
,Do Badan,"Manoj Kumar, Asha Parekh",,,,1966,6.0,,,,
,Aaye Din Bahar Ke,"Dharmendra, Asha Parekh",,,,1966,7.0,,,,
,Sawan Ki Ghata,"Manoj Kumar, Sharmila Tagore",,,,1966,8.0,,,,
,Pyar Kiye Jaa,"Shashi Kapoor, Mumtaz, Kalpana, Kishore Kumar, Mehmood",,,,1966,9.0,,,,
,Budtameez,"Shammi Kapoor, Sadhana",,,,1966,10.0,,,,
,Upkar,"Manoj Kumar, Asha Parekh, Pran",,,,1967,,1.0,,,
,Ram Aur Shyam,"Dilip Kumar, Waheeda Rehman, Mumtaz",,,,1967,,2.0,,,
,Farz,"Jeetendra, Babita",,,,1967,,3.0,,,
,Hamraaz,"Sunil Dutt, Raaj Kumar, Vimi, Mumtaz",,,,1967,,4.0,,,
,Shagird,"Joy Mukherjee, Saira Banu, I. S. Johar",,,,1967,,5.0,,,
,Jewel Thief,"Dev Anand, Vyjayanthimala, Ashok Kumar, Tanuja",,,,1967,,6.0,,,
,Milan,"Sunil Dutt, Nutan, Jamuna",,,,1967,,7.0,,,
,An Evening in Paris,"Shammi Kapoor, Sharmila Tagore",,,,1967,,8.0,,,
