Rank,Title,Cast,Director,Genre,Notes,Year,1966rank,1967rank,1968rank,Music,1969rank
,Ghunghat,"Bharat Bhushan, Leela Chitnis, Pradeep Kumar, Bina Rai, Asha Parekh, Helen, Rajendra Nath, Rehman, Agha",Ramanand Sagar,Family Drama Social,Music: Ravi Lyrics: Shakeel Badayuni,1960,,,,,
,Girl Friend,"Waheeda Rehman, Kishore Kumar, Daisy Irani, Nazir Hussain, Bipin Gupta",Satyen Bose,Romance Family Social,Music: Hemant Kumar Lyrics: Sahir Ludhianvi,1960,,,,,
,Hanuman Pathal Vijayam,,,,,1960,,,,,
,Honeymoon,"Manoj Kumar, Sayeeda Khan, Vijaya Choudhury",Lekhraj Bhakri,Family Drama,Music: Salil Chowdhury Lyrics: Shailendra,1960,,,,,
,Hum Hindustani,"Sunil Dutt, Joy Mukherjee, Asha Parekh, Prem Chopra, Helen, Leela Chitnis, Sanjeev Kumar",Ram Mukherjee,Family Social Drama,"Popular song: Chhodo Kal Ki Baaten, Kal Ki Baat Puraani Music: Usha Khanna Lyrics: Prem Dhawan",1960,,,,,
,Jaali Note,"Dev Anand, Madhubala, Om Prakash, Madan Puri, Helen",Shakti Samanta,Crime Social Romance,Music: O P Nayyar Lyrics: Raja Mehdi Ali Khan,1960,,,,,
,Jis Desh Men Ganga Behti Hai,"Raj Kapoor, Padmini, Pran, Lalita Pawar",Radhu Karmakar,Social,Music: Shankar Jaikishan Lyrics: Shailendra,1960,,,,,
,Jo Huwa So Bhool Ja,"Nanda, Shashikala, Raja Gosavi, Vivek, Nalini Chonkar",Y. Pethkar,Social,Music: B N Bali Lyrics: Hari Malik,1960,,,,,
,Kala Aadmi,"Ashok Kumar, Shyama, Johnny Walker, Mehmood, Minu Mumtaz",Ved Madan,Thriller Drama,Music: Dattaram Wadkar Lyrics: Hasrat Jaipuri,1960,,,,,
,Kala Bazar,"Dev Anand, Waheeda Rehman, Nanda, Vijay Anand, Chetan Anand, Madan Puri, Leela Chitnis",Vijay Anand,Romance Drama,Music: S. D. Burman Lyrics: Shailendra,1960,,,,,
,Kalpana,"Ashok Kumar, Padmini, Ragini, Iftekhar, Achala Sachdev",Rakhan,Drama Romance,"Music: O.P Nayyar Lyrics: Raja Mehendi Ali Khan, Qamar Jalalabadi, Jan Nissar Akhtar, Hasrat Jaipuri",1960,,,,,
,Kanoon,"Rajendra Kumar, Nanda, Ashok Kumar, Mehmood, Shashikala, Jeevan, Om Prakash",B. R. Chopra,Crime Courtroom Drama,Music: Salil Choudhury There were no songs in the movie. B. R. Chopra won the Filmfare Award for Best Director (1962) for Kanoon,1960,,,,,
,Kohinoor,"Dilip Kumar, Meena Kumari, Jeevan, Mukri, Tun Tun, Leela Chitnis",S. U. Sunny,Costume Drama,Music: Naushad Lyrics: Shakeel Badayuni,1960,,,,,
,Lady Of The Lake,"Nilima, Azad, Krishna Kumari",A. M. Khan,Costume Thriller Action,"Music: Suresh Talwar Lyrics: Anjaan, Saba Afghani, Munshi Nayab",1960,,,,,
,Lal Quila,"Jairaj, Nirupa Roy, Kumar, Helen, Kamal Kapoor",Nanabhai Bhatt,Historical Musical Romance,"Music: S. N. Tripathi Lyrics: Bahadur Shah Zafar, Bharat Vyas",1960,,,,,
,Love in Simla,"Joy Mukherjee, Sadhana, Shobhna Samarth, Durga Khote",R. K. Nayyar,Romance,Music: Iqbal Qureshi Lyrics: Rajendra Krishan,1960,,,,,
,Maa Baap,"Rajendra Kumar, Kamini Kaushal, Pran",V. M .Vyas,Family Social Drama,Music: Chitragupta Lyrics: Rajendra Krishan,1960,,,,,
,Manzil,"Dev Anand, Nutan, Krishan Dhawan, Achala Sachdev and K. N. Singh",Mandi Burman,Romance Musical,Music: S.D. Burman Lyrics: Majrooh Sultanpuri,1960,,,,,
,Masoom,"Ashok Kumar, Sarosh Irani, Honey Irani and Mohan Choti.",Satyen Bose,Family Children,"Screenwriter Ruby Sen won the Filmfare Award for Best Story. Nominated for Filmfare Award for Best Movie Music: Robin Banerjee, Hemant Kumar for Nani Teri Morni Ko Lyrics: Shailendra",1960,,,,,
,Maya Machhendra,"Nirupa Roy, Manhar Desai, Raj Kumar",Babubhai Mistri,Mythology Costume,"Music: Ramlal-Heerapanna Lyrics: Pt. Madhur, Deepak, Keshav",1960,,,,,
,Mehlon Ke Khwab,"Madhubala, Chanchal, Kishore Kumar, Pradeep Kumar, Om Prakash, Pran, K.N. Singh",Muhafiz Haider,Comedy Suspense Romance,Music: S. Mohinder Lyrics: Anand Bakshi,1960,,,,,
,Mera Ghar Mere Bachche,"Subiraj, Sohrab Modi, Soodesh Kumar, Naaz, Daisy Irani, Nana Palsikar, Sulochana",Sohrab Modi,Family Drama,Music: Sardar Malik Lyrics: Hasrat Jaipuri,1960,,,,,
,Miss Goodnight,"Nishi, Jairaj, Veena, Tiwari",Jugal Kishore,Action Romance,Music: Hansraj Behl Lyrics: Prem Dhawan,1960,,,,,
,Mitti Mein Sona,"Mala Sinha, Pradeep Kumar, Agha, Sabita Chatterjee",Jugal Kishore,Social Romance,"Music: O. P. Nayyar Lyrics: Raja Mehdi Ali Khan, Qamar Jalalabadi, S. H. Bihari",1960,,,,,
,Miyan Biwi Razi,"Mehmood, Kamini Kadam, Shreekant Gaurab, Seema, Sabita Chatterjee, David, Manorama",Jyoti Swaroop,Family Social,Music: S. D. Burman Lyrics: Shailendra,1960,,,,,
,Mohabbat Ki Jeet,"Ranjan, Raja Sulochana, Sowcar Janaki, Cuckoo",B. S. Ranga,Romance Action Costume,Music: Mohammed Shafi Lyrics: Shri Ram Saaz,1960,,,,,
,Mud Mud Ke Na Dekh,"Bharat Bhushan, Anita Guha, Mehmood, Jeevan, Prem Chopra, Helen",Ramayan Tiwari,Romance Social,Music: Hansraj Behl Lyrics: Prem Dhawan,1960,,,,,
,Mughal-e-Azam,"Prithviraj Kapoor, Dilip Kumar, Madhubala, Durga Khote, Ajit, Jalal Agha",K. Asif,Historical Costume Romance,"Music: Naushad Lyrics: Shakeel Badayuni. It won the National Film Award for Best Feature Film in Hindi. The film also won three Filmfare Awards: Best Film, Best Cinematography, and Best Dialogue",1960,,,,,
,Aas Ka Panchhi,"Rajendra Kumar, Vyjayantimala",J. Om Prakash,Family Drama,Music by Shankar-Jaikishan,1961,,,,,
,Amar Rahe Yeh Pyar,"Nalini Jaywant, Rajendra Kumar, Nanda, Prabhu Dayal",Prabhu Dayal,Drama Family,Music by C. RamchandraLyrics: Kavi Pradeep,1961,,,,,
,Amrit Manthan,"Usha Kiran, Manhar Desai, Sulochana Chatterjee, Ulhas, Ratnamala, Sunder, Yashodhra Katju, Dalpat, Jeevankala, Amirbai Karnataki",S. N. Tripathi,Mythology,Music: S. N. TripathiLyrics: B. D. Mishra,1961,,,,,
,Aplam Chaplam,"I. S. Johar, Kumkum, Tiwari",Roop K. Shorey,Comedy,Music by Chitragupta,1961,,,,,
,Apsara,"Pradeep Kumar, Padmini, Nirupa Roy",B.M. Vyas,Drama,Husnlal Bhagatram,1961,,,,,
