Opening,Opening.1,Title,Director,Cast,Studio,Year
AUG,21.0,Mee Raqsam,Baba Azmi,Naseeruddin ShahDanish HusainAditi SubediShradha KaulRakesh Chaturvedi,"AZMI Pictures, ZEE5",2020
AUG,21.0,Class of '83,Atul Sabharwal,Bobby DeolBhupendra JadawatHitesh BhojrajAnup SoniJoy SenguptaSameer ParanjapeNinad MahajaniPrithvik Pratap,"Red Chillies Entertainment, Netflix",2020
AUG,28.0,Sadak 2,Mahesh Bhatt,Sanjay DuttPooja BhattAlia BhattAditya Roy Kapur,"Vishesh Films, Fox Star Studios, Disney+ Hotstar",2020
AUG,28.0,Ram Singh Charlie,Nitin Kakkar,Kumud MishraDivya DuttaAkarsh KhuranaFarrukh SeyerSalima RazaRohit Rokhade,"Little Too Much Productions, Sony Liv",2020
SEP,5.0,Atkan Chatkan,Shiv Hare,Sachin ChaudharyYash RaneTamanna Dipak,"Lokaa Entertainment, ZEE5",2020
SEP,9.0,Cargo,Arati Kadav,Vikrant MasseyShweta Tripathi,"Fundamental Pictures, Electric Films, Netflix",2020
SEP,11.0,Tiki Taka,Parambrata Chatterjee,Emona EnabuluParambrata ChattopadhyayRitabhari ChakrabortySaswata Chatterjee,"Ratanshree Nirman, Ten Films, Roadshow Films, ZEE5",2020
SEP,18.0,Dolly Kitty Aur Woh Chamakte Sitare,Alankrita Shrivastava,Konkona Sen SharmaBhumi PednekarAmol ParasharAamir BashirKubbra SaitKaran KundraVikrant MasseyMushtaq Khan,"Balaji Motion Pictures, ALT Entertainment, Netflix",2020
SEP,18.0,London Confidential,Kanwal Sethi,Mouni RoyPurab KohliKulraj RandhawaSagar AryaParvesh RanaJas BinagDiljohn SinghKiren Jog,"JAR Pictures, ZEE5",2020
SEP,21.0,Halahal,Randeep Jha,Sachin KhedekarBarun Sobti,"Eros International, Eros Now",2020
21,,,,,,2020
OCT,2.0,Khaali Peeli,Maqbool Khan,Ishaan KhatterAnanya PandayJaideep Ahlawat,"Zee Studios, Offside Entertainment, Zee Plex, ZEE5",2020
OCT,2.0,Serious Men,Sudhir Mishra,Nawazuddin SiddiquiAakshath DasShweta Basu PrasadNassarIndira Tiwari,"Bombay Fables, Cineraas Entertainment, Netflix",2020
OCT,2.0,Bahut Hua Samman,Ashish R Shukla,Raghav JuyalAbhishek ChauhanSanjay MishraRam KapoorNidhi SinghNamit DasFlora Saini,"Yoodlee films, Disney+ Hotstar",2020
OCT,9.0,Ginny Weds Sunny,Puneet Khanna,Yami GautamVikrant Massey,"Soundrya Production, Netflix",2020
OCT,21.0,Comedy Couple,Nachiket Samant,Saqib SaleemShweta Basu Prasad,"Yoodlee films, ZEE5",2020
OCT,29.0,Taish,Bejoy Nambiar,Pulkit SamratKriti KharbandaJim SarbhHarshvardhan RaneAnkur RatheeZoa MoraniSanjeeda SheikhNeha SharmaAditya PancholiAmrita Puri,"Ease My Trip, Getaway Pictures Presentation, A Crayon Films Production, ZEE5",2020
OCT,30.0,Kaali Khuhi,Terrie Samundra,Shabana AzmiSatyadeep MishraRiva AroraSanjeeda Sheikh,Netflix,2020
NOV,9.0,Laxmmi Bomb,Raghava Lawrence,Akshay KumarKiara Advani,"Cape of Good Films, Fox Star Studios, Shabinaa Entertainment, Tushar Entertainment House, Disney+ Hotstar",2020
NOV,12.0,Ludo,Anurag Basu,Abhishek BachchanRajkummar RaoAditya Roy KapurFatima Sana ShaikhSanya MalhotraPankaj TripathiRohit Suresh SarafPearle MaaneyAsha NegiInayat VermaShalini Vats,"T-Series, Anurag Basu Productions, Netflix",2020
NOV,13.0,Chhalaang,Hansal Mehta,Rajkummar RaoNushrat Bharucha,"T-Series, Luv Films, Ajay Devgn FFilms, Amazon Prime Video",2020
NOV,13.0,Suraj Pe Mangal Bhari,Abhishek Sharma,Manoj BajpayeeDiljit DosanjhFatima Sana Shaikh,"Zee Studios, Essel Vision Productions",2020
NOV,,,,,,2020
DEC,11.0,Durgavati,G. Ashok,Bhumi PednekarArshad Warsi,"Abundantia Entertainment, T-Series, Cape of Good Films, Amazon Prime Video",2020
DEC,25.0,Coolie No. 1,David Dhawan,Varun DhawanSara Ali Khan,"Pooja Entertainment, Amazon Prime Video",2020
