Opening,Opening.1,Title,Director,Cast,Genre,Year,Source,Studio,Production house
OCT,2.0,Bang Bang!,Siddharth Anand,"Hrithik Roshan, Katrina Kaif, Javed Jaffrey",Action/Romance,2014,[112],,
OCT,2.0,Haider,Vishal Bhardwaj,"Tabu, Shahid Kapoor, Shraddha Kapoor, Kay Kay Menon",Drama,2014,[113],,
OCT,2.0,Spark,V. K. Singh,"Rajniesh Duggal , Shubhashree Ganguly, Mansha Bahl",Drama,2014,,,
OCT,10.0,Jigariyaa,Raj Purohit,"Harshvardhan Deo, Cherry Mardia, Virendra Saxena, K.K. Raina, Navni Parihar, Natasha Rastogi",Romance,2014,,,
OCT,10.0,Ekkees Toppon Ki Salaami,Ravindra Gautam,"Anupam Kher, Neha Dhupia, Divyendu Sharma, Manu Rishi, Aditi Sharma",Political Satire,2014,[114],,
OCT,10.0,Tamanchey,Navneet Behal,"Nikhil Dwivedi, Richa Chadda",Crime/Romance,2014,[115],,
OCT,17.0,Mumbai 125 KM,Hemant Madhukar,"Veena Malik, Karanvir Bohra, Vedita Pratap Singh, Aparna Bajpai",Horror,2014,[116],,
OCT,17.0,Sonali Cable,Charudutt Acharya,"Rhea Chakraborty, Ali Fazal, Raghav Juyal, Anupam Kher, Smita Jaykar",Comedy/Drama,2014,[117],,
OCT,24.0,Happy New Year,Farah Khan,"Shah Rukh Khan, Deepika Padukone, Abhishek Bachchan, Sonu Sood, Boman Irani, Vivaan Shah, Jackie Shroff",Action/Comedy,2014,[118],,
OCT,31.0,Fireflies,Sabal Singh Sheikhawat,"Rahul Khanna, Monica Dogra, Arjun Mathur, Shivani Ghai, Aadya Bedi",Drama,2014,[119],,
OCT,31.0,Roar: Tigers of the Sundarbans,Kamal Sadanah,"Abhinav Shukla, Varinder Singh Ghuman, Himarsha Venkatsamy, Achint Kaur, Nora Fatehi",Drama/Action,2014,[120],,
OCT,31.0,Super Nani,Indra Kumar,"Rekha, Sharman Joshi, Randhir Kapoor, Shweta Kumar",Drama,2014,[121],,
NOV,7.0,Rang Rasiya,Ketan Mehta,"Randeep Hooda, Nandana Sen, Paresh Rawal, Ashish Vidyarthi, Sachin Khedekar",Drama,2014,[122],,
NOV,7.0,A Decent Arrangement,Sarovar Banka,"Shabana Azmi, Adam Laupus, Lethia Nall, Farid Currim, Shreya Sharma, Vikram Kapadia, Navniit Nisshan, Adhir Bhat",Drama,2014,[123],,
NOV,7.0,The Shaukeens,Abhishek Sharma,"Akshay Kumar, Anupam Kher, Annu Kapoor, Lisa Haydon, Piyush Mishra",Comedy,2014,[124],,
NOV,14.0,6 - 5 = 2,Bharat Jain,"Prashanth Gupta, Niharica Raizada, Ashruth Jain, Gaurav Kothari, Disha Kapoor",Found footage / Horror,2014,[125],,
NOV,14.0,Kill Dil,Shaad Ali,"Ranveer Singh, Parineeti Chopra, Ali Zafar, Govinda",Romance/Drama,2014,[126],,
NOV,21.0,Gollu Aur Pappu,Kabir Sadanand,"Vir Das, Kunaal Roy Kapur, Shobhit Rana, Dimple Kapadia, Deepak Tijori",Comedy,2014,[127],,
