Title,Director,Cast,Genre,Sources,Year,Source,Composer,Music director
Daata,Sultan Ahmed,"Mithun Chakravorty. Shammi Kapoor, Padmini Kolhapure, Suresh Oberoi, Amrish Puri",Action,,1989,,,Kalyanji Anandji
Daddy,Mahesh Bhatt,"Pooja Bhatt, Anupam Kher, Manohar Singh, Raj Zutshi",Drama,,1989,,,Rajesh Roshan
Dana Paani,Deven Verma,"Ashok Kumar, Mithun Chakraborty, Padmini Kolhapure, Nirupa Roy, Sadashiv Amrapurkar, Aruna Irani, Shafi Inamdar",Drama,,1989,,,Anu Malik
Dav Pech,Kawal Sharma,"Jeetendra, Bhanupriya, Prem Chopra, Shakti Kapoor",Drama,,1989,,,Anu Malik
Deep[disambiguation needed],Raj Babbar,"Deepti Naval, Kanwaljeet",,,1989,,,
Desh Ke Dushman,Swaroop Kumar,"Raaj Kumar, Hema Malini, Aditya Pancholi, Mandakini, Sadashiv Amrapurkar, Bob Christo, Prema Narayan, Navin Nischol",,,1989,,,Sonik-Omi
Dil Lagake Dekho,,,,,1989,,,
Do Qaidi,Ajay Kashyap,"Govinda, Sanjay Dutt, Farah, Neelam Kothari, Amrish Puri, Gulshan Grover",,,1989,,,Laxmikant–Pyarelal
Eeshwar,K. Vishwanath,"Anil Kapoor, Vijayshanti, Saeed Jaffrey, Sadashiv Amrapurkar",Drama,,1989,,,Laxmikant–Pyarelal
Gair Kanooni,Prayag Raj,"Sridevi, Govinda, Rajinikanth, Kimi Katkar, Shashi Kapoor, Kader Khan",Action,,1989,,,Bappi Lahiri
Gawahi,Anant Balani,"Shekhar Kapur, Zeenat Aman, Ranjeeta Kaur, Ashutosh Gowariker",Thriller,,1989,,,Uttam-Jagdish
Ghar Ka Chiraag,Sikander Bharti,"Rajesh Khanna, Neelam Kothari, Chunky Pandey, Shafi Inamdar, Deepika Chikhalia",Drama,,1989,,,Bappi Lahiri
Goonj,Jalal Agha,"Kumar Gaurav, Juhi Chawla, Tinnu Anand",Crime,,1989,,,Biddu
Guru,Umesh Mehra,"Mithun Chakraborty, Sridevi, Shakti Kapoor",Drama,,1989,,,Bappi Lahiri
Hero Hiralal,Ketan Mehta,"Naseeruddin Shah, Sanjana Kapoor, Saeed Jaffrey, Satish Shah, Deepa Sahi","Action, Comedy, Drama",,1989,,,Babla
Hisaab Khoon Ka,Surendra Mohan,"Mithun Chakraborty, Raj Babbar, Mandakini, Poonam Dhillon, Satish Shah, Saeed Jaffrey, Amrish Puri","Action, Drama",,1989,,,Nadeem-Shravan
Hum Bhi Insaan Hain,Manivannan,"Sanjay Dutt, Jackie Shroff, Raj Babbar, Jayaprada, Neelam Kothari, Sonam, Kader Khan","Action, Drama",,1989,,,Bappi Lahiri
Ilaaka,Aziz Sejawal,"Dharmendra, Mithun Chakraborty, Sanjay Dutt, Madhuri Dixit, Amrita Singh",Action,,1989,,,Nadeem Shravan
Hum Intezaar Karenge,Prabhat Roy,"Mithun Chakraborty, Padmini Kolhapure, Vinod Mehra, Jagdeep, Shakti Kapoor, Shafi Inamdar",Drama,,1989,,,Bappi Lahiri
Jaadugar,Prakash Mehra,"Amitabh Bachchan, Jaya Prada, Aditya Pancholi, Amrita Singh",Drama,,1989,,,Kalyanji-Anandji
Jaaydaad,,"Raj Babbar, Madhavi, Shashi Kapoor",,,1989,,,Anu Malik
Jaisi Karni Waisi Bharnii,Vimal Kumar,"Govinda, Kimi Katkar, Asrani, Kader Khan, Shakti Kapoor",Drama,,1989,,,Rajesh Roshan
Jawani Ke Gunah,,,,,1989,,,
Jism Ka Rishta,,,,,1989,,,
Joshilaay,Sibte Hassan Rizvi,"Anil Kapoor, Sunny Deol, Meenakshi Seshadri, Sridevi, Kulbhushan Kharbanda",Action,,1989,,,Rahul Dev Burman
Jungbaaz,Mehul Kumar,"Govinda, Raaj Kumar, Danny Denzongpa, Mandakini, Prem Chopra",Action,,1989,,,Ravindra Jain
Kahan Hai Kanoon,Deepak Balraj Vij,"Aditya Pancholi, Mandakini, Kimi Katkar",Action,,1989,,,
Kaala Bazaar,Rakesh Roshan,"Anil Kapoor, Jackie Shroff, Farha Naaz, Kimi Katkar",Action,,1989,,,Rajesh Roshan
Kanoon Apna Apna,B. Gopal,"Dilip Kumar, Nutan Behl, Sanjay Dutt, Madhuri Dixit, Kader Khan, Anupam Kher",Action,,1989,,,Bappi Lahiri
Khayal Gatha,Kumar Shahani,"Rajat Kapoor, Poonam Dhillon",Drama,,1989,,,
Ladaai,Deepak Shivdasani,"Mithun Chakraborty, Rekha, Dimple Kapadia, Mandakini, Aditya Pancholi, Gulshan Grover, Satish Shah, Shakti Kapoor","Drama, Action",,1989,,,Anu Malik
Ladki,,,,,1989,,,
Lal Dupatta Malmal Ka,Ravinder Peepat,"Sahil Chaddha, Veverly",Drama,,1989,,,Anand-Milind
Lashkar,Jagdish Kadar,"Dev Anand, Aditya Pancholi, Sonam, Hemant Birje, Madhavi, Sumeet Saigal, Jaaved Jaffrey, Kiran Kumar",Drama,,1989,,,Nadeem Shravan
Love Love Love,Babbar Subhash,"Aamir Khan, Juhi Chawla, Gulshan Grover, Dalip Tahil, Raza Murad","Romance, Drama",,1989,,,Bappi Lahiri
Mahaadev,Raj N. Sippy,"Vinod Khanna, Raj Babbar, Meenakshi Seshadri, Sonu Walia, Shakti Kapoor, Anupam Kher",Drama,,1989,,,Ilaiyaraaja
Mahal,,"Huma Khan, Suresh Oberoi, Sadashiv Amrapurkar",Horror,,1989,,,
Main Azaad Hoon,Tinnu Anand,"Amitabh Bachchan, Shabana Azmi",Drama,,1989,,,"Amar Biswas, Utpal Biswas"
Main Tera Dushman,Vijay Reddy,"Jackie Shroff, Jaya Prada, Sunny Deol, Sridevi, Anupam Kher","Drama, Action",,1989,,,Laxmikant–Pyarelal
Main Tere Liye,Vijay Anand,"Rajendra Kumar, Asha Parekh, Suneil Anand, Meenakshi Seshadri",Drama,,1989,,,Bappi Lahiri
Maine Pyar Kiya,Sooraj R. Barjatya,"Salman Khan, Bhagyashree Patwardhan, Laxmikant Berde, Mohnish Behl","Romantic, Drama",,1989,,,Raamlaxman
Mujrim,Umesh Mehra,"Mithun Chakraborty, Madhuri Dixit, Nutan, Shakti Kapoor, Gulshan Grover",Action,,1989,,,Anu Malik
Nigahen: Nagina Part II,Harmesh Malhotra,"Sridevi, Sunny Deol, Anupam Kher, Gulshan Grover",Action,,1989,,,Laxmikant Pyarelal
Parinda,Vidhu Vinod Chopra,"Jackie Shroff, Anil Kapoor, Nana Patekar, Madhuri Dixit, Anupam Kher","Action, Crime",,1989,,,Rahul Dev Burman
Parayaa Ghar,Kalpataru,"Rishi Kapoor, Jaya Prada, Raj Babbar, Aruna Irani, Madhavi, Sachin Pilgaonkar, Tanuja, Kader Khan",Drama,,1989,,,Laxmikant–Pyarelal
Prem Pratigyaa,Bapu,"Mithin Chakraborty, Madhuri Dixit, Satish Kaushik, Vinod Mehra","Romantic, Action",,1989,,,Bappi Lahiri
Purani Haveli,"Shyam Ramsay, Tulsi Ramsay","Deepak Parashar, Amita Nangia, Neelam Mehra, Vijay Arora, Satish Shah",Horror,,1989,,,Ajit Singh
Raakh,Aditya Bhattacharya,"Aamir Khan, Supriya Pathak, Pankaj Kapur",Action,,1989,,,Ranjit Barot
Raasta,,,,,1989,,,
Rakhwala,K. Muralimohana Rao,"Anil Kapoor, Farha Naaz, Suresh Oberoi, Prem Chopra, Shakti Kapoor, Asrani",Action,,1989,,,Anand–Milind
Ram Lakhan,Subhash Ghai,"Anil Kapoor, Jackie Shroff, Dimple Kapadia, Madhuri Dixit, Amrish Puri, Rakhee Gulzar, Gulshan Grover","Romance, Action, Comedy",,1989,,,Laxmikant–Pyarelal
Sachché Ká Bol-Bálá,Dev Anand,"Dev Anand, Jackie Shroff, Meenakshi Seshadri, Prem Chopra, Hema Malini",Suspense,,1989,,,Bappi Lahiri
Sachai Ki Taqat,T. Rama Rao,"Dharmendra, Govinda, Amrita Singh, Sonam, Anupam Kher, Shakti Kapoor",Action,,1989,,,Laxmikant–Pyarelal
Santosh,,,,,1989,,,
Shanakht,,,,,1989,,,
Shehzaade,Raj N. Sippy,"Shatrughan Sinha, Kimi Katkar, Dimple Kapadia, Dharmendra, Jayaprada",Action,,1989,,,Laxmikant–Pyarelal
Shukriya,A. C. Trilok Chandra,"Rajiv Kapoor, Amrita Singh, Pran, Beena Banerjee, Prem Chopra",,,1989,,,
Sikka,K. Bapaiah,"Jackie Shroff, Dharmendra, Dimple Kapadia, Moushumi Chatterjee",Drama,,1989,,,Bappi Lahiri
Suryaa,Esmayeel Shroff,"Raaj Kumar, Vinod Khanna, Raj Babbar, Bhanupriya, Shakti Kapoor, Alok Nath, Amrish Puri.",Action,,1989,,,Laxmikant–Pyarelal
Tere Bina Kya Jeena,P.P. Ghosh,"Shekhar Suman, Moon Moon Sen, Satish Shah, Raj Kiran",Drama,,1989,,,Jugal Kishore-Tilak Raj
Toofan,Ketan Desai,"Amitabh Bachchan, Meenakshi Seshadri, Amrita Singh, Pran, Kamal Kapoor, Goga Kapoor",Action,,1989,,,Anu Malik
Touhean,Madan Joshi,"Dimple Kapadia, Raj Babbar, Padmini Kolhapure",Drama,,1989,,,Bappi Lahiri
Tridev,Rajiv Rai,"Naseeruddin Shah, Jackie Shroff, Sunny Deol, Madhuri Dixit, Sangeeta Bijlani, Sonam, Raza Murad, Anupam Kher, Amrish Puri","Action, Thriller",,1989,,,"Kalyanji-Anandji, Viju Shah"
Tujhe Nahin Chhodunga,Iqbal Khan,"Zeenat Aman, Akbar Khan, Shekhar Suman, Swapna, Suresh Oberoi, Shafi Inamdar, Amrish Puri",Action,,1989,,,C.P. Bhatti
Ustaad,,"Kimi Katkar, Vinod Khanna, Chunky Pandey",Action,,1989,,,Anu Malik
Vardi,Umesh Mehra,"Sunny Deol, Jackie Shroff, Kimi Katkar, Madhuri Dixit",Action,,1989,,,Anu Malik
Vicky Dada (Telugu) / Meri Duniya (Hindi),A. Kodandarami Reddy,"Akkineni Nagarjuna, Juhi Chawla, Radha",Action,,1989,,,Raj-Koti
Zaher,,,,,1989,,,
Zakham,Irfaan Khan,"Shatrughan Sinha, Chunky Pandey, Madhavi, Neelam Kothari",Action,,1989,,,Bappi Lahiri
