Title,Director,Cast,Genre,Sources,Year,1974Rank,1976Rank,1969Rank,1978Rank,1979Rank
Hungama,,"Kishore Kumar, Vinod Khanna, Mumtaz",Comedy,,1971,,,,,
Jaane-Anjaane,Shakti Samanta,"Shammi Kapoor, Vinod Khanna, Leena Chandavarkar",Drama,,1971,,,,,
Jai Bangladesh,I. S. Johar,"Kabari Choudhury, Dilip Dutt",Drama,,1971,,,,,
Jai Jawan Jai Makan,Vishram Bedekar,"Jaya Bhaduri, Anil Dhawan",Drama,,1971,,,,,
Jal Bin Machhli Nritya Bin Bijli,Rajaram Vankudre Shantaram,"Dina Pathak, Abhijeet",Romance,,1971,,,,,
Jawan Mohabbat,Bhappi Sonie,"Shammi Kapoor, Asha Parekh, Mumtaz, Pran",Romance,,1971,,,,,
Johar Mehmood in Hong Kong,S.A. Akbar,"Mehmood Ali, Aruna Irani, Pran",Comedy,,1971,,,,,
Jwala,M.V. Raman,"Sunil Dutt, Madhubala, Pran",Action,,1971,,,,,
Kabhi Dhoop Kabhi Chhaon,Chandrakant,"Dara Singh, Ameeta",Drama,,1971,,,,,
Kahin Aar Kahin Paar,,"Joy Mukherjee, Nadira",Romance,,1971,,,,,
Kal Aaj Aur Kal,Randhir Kapoor,"Prithviraj Kapoor, Raj Kapoor, Randhir Kapoor, Babita",Drama,,1971,,,,,
Kangan,K.B. Tilak,"Aruna Irani, Mala Sinha, Sanjeev Kumar",Drama,,1971,,,,,
Kathputli,Brij,"Jeetendra, Mumtaz",Romance,,1971,,,,,
Kati Patang,Shakti Samanta,"Rajesh Khanna, Asha Parekh",Romance,,1971,,,,,
Khoj,Jugal Kishore,"Farida Jalal, Shatrughan Sinha",Drama,,1971,,,,,
Ladki Pasand Hai,C. L. Rawal,Mumtaz,Drama,,1971,,,,,
Lagan,Ramanna,Prem Chopra,Drama,,1971,,,,,
Lakhon Mein Ek,S. S. Balan,"Aruna Irani, Mehmood Ali, Pran",Comedy,,1971,,,,,
Lal Patthar,Sushil Majumdar,"Raaj Kumar, Hema Malini, Raakhee, Vinod Mehra",Romance,,1971,,,,,
Main Sunder Hoon,R. Krishnan,"Mehmood Ali, Leena Chandavarkar",Drama,,1971,,,,,
Man Mandir,Tapi Chanakya,"Sanjeev Kumar, Waheeda Rehman, Rakesh Roshan",Drama,,1971,,,,,
Man Tera Tan Mera,B. R. Ishara,Rehana Sultan,Drama,,1971,,,,,
