Title,Director,Cast,Genre,Music director,Year,Sources,Opening,Opening.1
"Suno Na, Ek Nanhi Awaaz[2]",Amy Thanawala,"Tara Sharma, Dharmendra Gohil, Rinku Patel, Avinash Tiwari",Drama,,2009,,MAY,15.0
Detective Naani,Romilla Mukherjee,"Ava Mukherjee,Zain Khan, Shweta Gulati, Amit Verma",Drama,,2009,,MAY,22.0
Yeh Pal Ho Na Ho kal[3],Ravi Pun,"Prakash Sagar, Rishabh, Tina Rana, Simran",Drama,,2009,,MAY,29.0
Sanam Teri Kasam,Lawrence D'Souza,"Saif Ali Khan, Pooja Bhatt, Atul Agnihotri","Comedy, Romance",,2009,,JUN,5.0
Team - The Force,Ajay Chandhok,"Sohail Khan, Amrita Arora, Yash Tonk",Action,,2009,,JUN,5.0
Kal Kissne Dekha,Vivek Sharma,"Jackky Bhagnani, Vaishali Desai, Rishi Kapoor, Juhi Chawla, Riteish Deshmukh, Sanjay Dutt, Dalip Tahil","Romance, Drama, Social, Comedy",,2009,,JUN,12.0
Zor Lagaa Ke...Haiya!,Girish Girija Joshi,"Mithun Chakraborty, Mahesh Manjrekar, Sachin Khedekar, Raj Zutshi, Ashwin Chitale, Gulshan Grover",,,2009,,JUN,12.0
Let's Dance,Aarif Sheikh,"Ajay Chaudhary, Gayatri Patel",Romance,,2009,,JUN,19.0
Paying Guests,Paritossh Painter,"Shreyas Talpade, Javed Jaffrey, Aashish Chaudhary, Chunky Pandey, Vatsal Sheth, Johnny Lever, Celina Jaitly, Riya Sen, Neha Dhupia",Comedy,,2009,,JUN,19.0
New York,Kabir Khan,"John Abraham, Katrina Kaif, Neil Mukesh, Irrfan Khan","Action Thriller, Romance",,2009,,JUN,26.0
Kambakkht Ishq,Sabbir Khan,"Akshay Kumar, Kareena Kapoor, Aftab Shivdasani, Amrita Arora, Javed Jaffrey, Kirron Kher, Boman Irani","Action, comedy, romance",,2009,,JUL,3.0
Sankat City,Pankaj Advani,"Kay Kay Menon, Anupam Kher, Rimi Sen, Chunky Pandey",Dark comedy,,2009,,JUL,10.0
Shortkut,Neeraj Vora,"Akshaye Khanna, Arshad Warsi, Amrita Rao",Comedy,,2009,,JUL,10.0
Jashnn,Raksha Mistry & Hasnain S Hyderabadwala,"Adhyayan Suman, Anjana Sukhani, Shahana Goswami, Humayun Saeed",Musical,,2009,,JUL,17.0
Luck,Soham Shah,"Sanjay Dutt, Shruti Haasan, Imran Khan, Mithun Chakraborty, Danny Denzongpa, Ravi Kishan, Rati Agnihotri",Action thriller,,2009,,JUL,24.0
Love Aaj Kal,Imtiaz Ali,"Saif Ali Khan, Deepika Padukone, Rishi Kapoor, Rahul Khanna, Neetu Singh",Romance,,2009,,JUL,31.0
Agyaat,Ram Gopal Varma,"Gautam Rode, Nitin Kumar Reddy, Priyanka Kothari",Horror,,2009,,AUG,7.0
Chal Chalein,Ujjwal Singh,"Mithun Chakraborty, Rati Agnihotri, Shilpa Shukla, Mukesh Khanna",Social,,2009,,AUG,7.0
Teree Sang,Satish Kaushik,"Ruslaan Mumtaz, Sheena Shahabadi, Neena Gupta",Drama,,2009,,AUG,7.0
Kaminey,Vishal Bhardwaj,"Shahid Kapoor, Priyanka Chopra, Amole Gupte",Drama,,2009,,AUG,14.0
Life Partner,Rumi Jaffrey,"Govinda, Fardeen Khan, Tusshar Kapoor, Genelia D'Souza, Prachi Desai, Amrita Rao, Anupam Kher","Comedy, romance",,2009,,AUG,14.0
"Three: Love, Lies, Betrayal",Vishal Pandya,"Aashish Chaudhary, Akshay Kapoor Nausheen Ali Sardar",Thriller,,2009,,AUG,21.0
Daddy Cool,K. Murli Manohar Rao,"Suniel Shetty, Aftab Shivdasani, Aarti Chabria, Aashish Chaudhary, Javed Jaffrey, Rajpal Yadav, Sophie Chaudhry, Tulip Joshi, Chunky Pandey, Prem Chopra, Kim Sharma",Comedy,,2009,,AUG,28.0
Kisaan,Puneet Sira,"Jackie Shroff, Sohail Khan, Arbaaz Khan, Diya Mirza, Nauheed Cyrusi",Social,,2009,,AUG,28.0
Love Khichdi,Srinivas Bhashyam,"Randeep Hooda, Rituparna Sengupta, Divya Dutta",Comedy,,2009,,AUG,28.0
Quick Gun Murugun,Shashanka Ghosh,"Rajendra Prasad, Sandhya Mridul, Nassar",Comedy,,2009,,AUG,28.0
Toss,Ramesh Khatkar,"Prashant Raj Sachdev, Ashmit Patel, Rannvijay Singh",Thriller,,2009,,AUG,28.0
Yeh Mera India,N. Chandra,"Anupam Kher, Perizaad Zorabian, Purab Kohli, Rajpal Yadav, Sarika, Seema Biswas",Social,,2009,,AUG,28.0
Aagey Se Right,Indrajit Nattoji,"Shreyas Talpade, Shiv Panditt, Mahi Gill, Kay Kay Menon, Shruti Seth, Shenaz Treasurywala",Comedy,,2009,,SEP,4.0
Chintu Ji,Ranjit Kapoor,"Rishi Kapoor, Priyanshu Chatterjee, Kulraj Randhawa",Comedy,,2009,,SEP,4.0
Fox,Deepak Tijori,"Arjun Rampal, Sagarika Ghatge, Udita Goswami, Sunny Deol, Vipul Gupta",Drama,,2009,,SEP,4.0
Aamras,Rupali Guha,"Jiya Sarang, Pari Sehgal, Rakhi Chadda, Sanya Balsara, Zarina Wahab, Reema, Sukanya Kulkarni, Shubhi, Vikram Kapadia, Usha Bachani, Sonali Sachdev, Meher, Sunil Sinha, Manoj Pahwa",Drama,,2009,,SEP,11.0
Baabarr,Ashu Trikha,"Soham Deepak, Mithun Chakraborty, Urvashi Sharma",Action,,2009,,SEP,11.0
Phir Kabhi,Pradeep Guha,"Mithun Chakraborty, Dimple Kapadia, Gulshan Grover, Rati Agnihotri",Drama,,2009,,SEP,11.0
Vaada Raha,Samir Karnik,"Bobby Deol, Kangana Ranaut, Dwij Yadav, Atul Agnihotri",Romance,,2009,,SEP,11.0
Dil Bole Hadippa!,Anurag Singh,"Shahid Kapoor, Rani Mukerji, Anupam Kher, Dalip Tahil, Rakhi Sawant, Sherlyn Chopra","Romantic comedy, sports",,2009,,SEP,18.0
Wanted,Prabhu Deva,"Salman Khan, Ayesha Takia, Prakash Raj, Vinod Khanna, Mahesh Manjrekar","Action, romance",,2009,,SEP,18.0
Blue Oranges,Rajesh Ganguly,"Rajat Kapoor, Shishir Sharma, Aham Sharma, Puja Kanwal, Rati Agnihotri, Harsh Chhaya",Thriller,,2009,,SEP,18.0
Phir Kabhi,V. K. Prakash,"Mithun Chakraborty, Dimple Kapadia, Rati Agnihotri",Romance,,2009,,SEP,22.0
What's Your Raashee?,Ashutosh Gowarikar,"Harman Baweja, Priyanka Chopra",Romantic comedy,,2009,,SEP,25.0
Do Knot Disturb,David Dhawan,"Govinda, Riteish Deshmukh, Lara Dutta, Sushmita Sen, Sohail Khan, Ranvir Shorey, Rajpal Yadav","Comedy, romance",,2009,,OCT,2.0
Wake Up Sid,Ayan Mukerji,"Ranbir Kapoor, Konkona Sen Sharma, Rahul Khanna, Anupam Kher",Romantic comedy,,2009,,OCT,2.0
Acid Factory,Suparn Verma,"Dia Mirza, Fardeen Khan, Irrfan Khan, Manoj Bajpai, Dino Morea, Aftab Shivdasani, Danny Denzongpa, Gulshan Grover",Action,,2009,,OCT,9.0
All the Best: Fun Begins,Rohit Shetty,"Sanjay Dutt, Ajay Devgn, Fardeen Khan, Bipasha Basu, Mugdha Godse",Comedy,,2009,,OCT,16.0
Blue,Anthony D'souza,"Akshay Kumar, Sanjay Dutt, Lara Dutta, Zayed Khan, Katrina Kaif, Rahul Dev",Action,,2009,,OCT,16.0
Main Aurr Mrs Khanna,Prem Soni,"Salman Khan, Kareena Kapoor, Sohail Khan, Deepika Padukone, Dino Morea, Preity Zinta, Nauheed Cyrusi, Yash Tonk, Bappi Lahiri","Drama, romance",,2009,,OCT,16.0
Bal Ganesh 2,Pankaj Sharma,,Animation,,2009,,OCT,23.0
Fruit and Nut,Kunal Vijaykar,"Boman Irani, Cyrus Broacha, Mahesh Manjrekar, Dia Mirza",Comedy,,2009,,OCT,23.0
Love Ka Tadka,A F Inam & Rajan Wagdhare,"Nauheed Cyrusi, Sameer Dattani",Romantic comedy,,2009,,OCT,23.0
London Dreams,Vipul Shah,"Salman Khan, Ajay Devgn, Asin Thottumkal, Om Puri","Musical, social, drama, romance",,2009,,OCT,30.0
Aladin,Sujoy Ghosh,"Amitabh Bachchan, Sanjay Dutt, Jacqueline Fernandez, Riteish Deshmukh, Sahil Khan, Ratna Pathak Shah",Fantasy,,2009,,OCT,30.0
Ajab Prem Ki Ghazab Kahani,Rajkumar Santoshi,"Ranbir Kapoor, Katrina Kaif, Upen Patel","Comedy, romance",,2009,,NOV,6.0
Jail,Madhur Bhandarkar,"Neil Nitin Mukesh, Mugdha Godse",Social,,2009,,NOV,6.0
Tum Mile,Kunal Deshmukh,"Emraan Hashmi, Soha Ali Khan",Romance,,2009,,NOV,13.0
Aao Wish Karein,Glenn Baretto,"Aftab Shivdasani, Aamna Shariff, Johnny Lever, Ritesh Deshmukh",Fantasy,,2009,,NOV,13.0
Kurbaan,Rensil D'Silva,"Saif Ali Khan, Kareena Kapoor, Vivek Oberoi, Dia Mirza, Om Puri, Kirron Kher, Nauheed Cyrusi","Thriller, romance",,2009,,NOV,20.0
Shaabash! You Can Do It,Shankar Mondal,"Hitesh Agrawal, Mansi Dovhal, Sudesh Berry, Nasir Khan","Comedy, thriller, social",,2009,,NOV,20.0
Marega Salaa,Devang Dholkia,"Jimmy Sheirgill, Kim Sharma, Hrishita Bhatt, Rahul Handa",Action,,2009,,NOV,20.0
De Dana Dan,Priyadarshan,"Akshay Kumar, Katrina Kaif, Sunil Shetty, Paresh Rawal, Neha Dhupia, Sameera Reddy",Comedy,,2009,,NOV,27.0
49,Vinil Matthew,"Ranveer Singh, Parineeti Chopra","Action, romance, Thriller",,2009,,NOV,27.0
Radio,Ishaan Trivedi,"Himesh Reshammiya, Shenaz Treasurywala, Sonal Sehgal",Musical,,2009,,DEC,3.0
Paa,R. Balki,"Amitabh Bachchan, Abhishek Bachchan, Vidya Balan, Paresh Rawal","Drama, family",,2009,,DEC,4.0
Rocket Singh: Salesman of the Year,Shimit Amin,"Ranbir Kapoor, Shazahn Padamsee, Sharon Prabhakar",Comedy,,2009,,DEC,11.0
"Raat Gayi, Baat Gayi?",Saurabh Shukla,"Rajat Kapoor, Vinay Pathak, Neha Dhupia, Navneet Nishan, Dalip Tahil, Anuradha Menon, Aamir Bashir, Iravati Harshe",Drama,,2009,,DEC,18.0
3 Idiots,Rajkumar Hirani,"Aamir Khan, Kareena Kapoor, Sharman Joshi, R. Madhavan, Boman Irani, Omi Vaidya",Comedy,,2009,,DEC,25.0
Accident on Hill Road,Mahesh Nair,"Celina Jaitly, Farooq Sheikh",Thriller,,2009,,DEC,31.0
,,,,,2009,,DEC,
,,,,,2009,,DEC,
